datetime,deviceId,shortDeviceId,rssi,position,weightKg,heightM,batteryPowerV,humidityRhp,temperatureC,pressureKpa,accelerationXg,accelerationYg,accelerationZg
2018-03-07T12:02:12.981Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.30,0.90,0.31,0.19
2018-03-07T12:02:13.976Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.33,0.94,0.32,0.19
2018-03-07T12:02:15.984Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.30,0.97,0.33,0.18
2018-03-07T12:02:16.980Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.31,0.91,0.35,0.14
2018-03-07T12:02:17.978Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.33,0.78,0.32,0.14
2018-03-07T12:02:18.983Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.30,0.84,0.31,0.18
2018-03-07T12:02:19.976Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.34,0.86,0.34,0.20
2018-03-07T12:02:20.981Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.32,0.83,0.33,0.14
2018-03-07T12:02:21.978Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.69,99.30,0.90,0.26,0.15
2018-03-07T12:02:23.978Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.69,99.31,0.96,0.32,0.24
2018-03-07T12:02:24.975Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.28,0.82,0.32,0.23
2018-03-07T12:02:25.983Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.31,0.88,0.31,0.27
2018-03-07T12:02:31.979Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.30,0.96,0.39,0.21
2018-03-07T12:02:33.975Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.34,0.93,0.43,0.27
2018-03-07T12:02:40.980Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.69,99.30,0.89,0.25,0.24
2018-03-07T12:02:41.978Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.69,99.32,0.85,0.24,0.26
2018-03-07T12:02:43.980Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.28,0.88,0.26,-0.06
2018-03-07T12:02:45.983Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.27,0.94,0.36,0.46
2018-03-07T12:02:46.980Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.30,0.99,0.24,0.33
2018-03-07T12:02:49.978Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.29,0.86,0.32,0.30
2018-03-07T12:03:04.975Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.28,0.89,0.27,0.22
2018-03-07T12:03:09.979Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.34,0.93,0.31,0.22
2018-03-07T12:03:11.975Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.69,99.25,0.85,0.28,0.23
2018-03-07T12:03:13.977Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.69,99.41,0.91,0.31,0.17
2018-03-07T12:03:15.976Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.40,0.95,0.29,0.21
2018-03-07T12:03:17.978Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.69,99.35,0.10,0.04,0.37
2018-03-07T12:03:26.983Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.69,99.27,1.05,0.50,0.33
2018-03-07T12:03:29.979Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.28,1.07,0.14,0.22
2018-03-07T12:03:35.973Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.28,1.06,0.19,0.40
2018-03-07T12:03:39.976Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.32,0.51,0.24,0.42
2018-03-07T12:03:59.978Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.26,0.64,0.60,0.24
2018-03-07T12:04:00.978Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.24,0.98,0.48,0.24
2018-03-07T12:04:05.981Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.31,0.86,0.37,0.23
2018-03-07T12:04:12.977Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.28,0.87,0.51,0.15
2018-03-07T12:04:17.983Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.32,0.94,0.48,0.18
2018-03-07T12:04:23.982Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.32,0.85,0.35,0.30
2018-03-07T12:04:25.980Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.31,0.96,0.34,0.21
2018-03-07T12:04:26.976Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.31,1.07,0.36,0.30
2018-03-07T12:04:27.973Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.31,0.92,0.35,0.24
2018-03-07T12:04:29.974Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.29,0.96,0.34,0.35
2018-03-07T12:04:31.981Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.30,0.89,0.37,0.21
2018-03-07T12:04:33.974Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.30,1.00,0.42,0.08
2018-03-07T12:04:35.982Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.69,99.31,0.92,0.40,0.02
2018-03-07T12:04:38.981Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.31,0.96,0.29,0.14
2018-03-07T12:04:41.971Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.34,0.87,0.39,0.28
2018-03-07T12:04:44.977Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.33,0.98,0.38,0.05
2018-03-07T12:04:48.977Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.69,99.33,0.98,0.36,0.00
